name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Da Hudson,R,24,1,STL,NL,Starter,16,7,0,0,33,32,1,1,524,174.7, 3.35 ,160,65,22,86,136,8,5,9,0,757,80, 1.6 , 7.0 , 4.4 , 1.1 , 1.41 , 1.75 , 0.06 , 4.12 , 4.91 ,4.73, 11 , 38 ,0.491965,0.6
Ja Hughes,R,33,2,PHI,NL,Reliever,5,5,0,0,72,0,1,13,214,71.3, 4.04 ,57,32,13,27,54,1,1,2,0,289,37, 2.0 , 6.8 , 3.4 , 1.6 , 1.18 , 2.20 , 0.09 , 4.67 , 5.27 ,5.2, 7 , 14 ,0.52555,-0.5
Ra Iglesias,R,29,1,CIN,NL,Reliever,3,12,0,0,68,0,34,55,201,67.0, 4.16 ,61,31,12,21,89,4,3,2,0,279,31, 4.2 , 12.0 , 2.8 , 1.6 , 1.22 , 2.10 , 0.12 , 4.16 , 3.90 ,3.53, 210 , 50 ,6.0,1.2
Ja Jackson,R,31,1,MIL,NL,Reliever,1,0,0,0,28,0,0,9,91,30.3, 4.45 ,22,15,6,18,47,1,0,2,0,132,15, 2.6 , 13.9 , 5.3 , 1.8 , 1.32 , 2.57 , 0.16 , 4.45 , 4.65 ,4.33, 223 , 17 ,0.365568,-0.1
Lu Jackson,R,27,1,ATL,NL,Reliever,9,2,0,0,70,0,18,35,218,72.7, 3.84 ,76,31,10,26,106,4,3,2,0,315,34, 4.1 , 13.1 , 3.2 , 1.2 , 1.40 , 1.73 , 0.10 , 4.21 , 3.23 ,2.98, 302 , 92 ,0.585,1.3
Jo James,R,26,1,HOU,AL,Reliever,5,1,0,0,49,1,1,18,184,61.3, 4.70 ,46,32,10,35,100,0,6,4,0,266,34, 2.9 , 14.7 , 5.1 , 1.5 , 1.32 , 2.20 , 0.14 , 4.99 , 3.97 ,3.81, 304 , 37 ,0.5668,0.5
Ke Jansen,R,31,1,LAN,NL,Reliever,5,3,0,0,62,0,33,51,189,63.0, 3.71 ,51,26,9,16,80,0,2,4,3,263,28, 5.0 , 11.4 , 2.3 , 1.3 , 1.06 , 1.68 , 0.09 , 4.00 , 3.47 ,3.34, 215 , 59 ,19.333334,1.2
Jo Jimenez,R,24,1,DET,AL,Reliever,4,7,0,0,66,0,9,29,179,59.7, 4.37 ,56,29,13,23,82,1,1,4,1,257,33, 3.6 , 12.4 , 3.5 , 2.0 , 1.32 , 2.56 , 0.15 , 4.98 , 4.64 ,4.31, 181 , 24 ,0.5692,0.3
Br Johnson,L,28,1,BOS,AL,Reliever,1,3,0,0,21,7,0,3,121,40.3, 6.02 ,53,27,6,23,31,3,5,0,0,193,29, 1.3 , 6.9 , 5.1 , 1.3 , 1.88 , 2.06 , 0.07 , 6.47 , 5.31 ,4.92, 4 , 12 ,0.575,0.0
Ja Junis,R,26,1,KCA,AL,Starter,9,14,0,0,31,31,0,0,526,175.3, 5.24 ,192,102,31,58,164,1,4,11,0,771,108, 2.8 , 8.4 , 3.0 , 1.6 , 1.43 , 2.10 , 0.09 , 5.54 , 4.81 ,4.57, 46 , 41 ,0.57825,1.5
