name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
De Holland,L,32,2,CHN,NL,Reliever,2,5,1,0,51,8,0,19,253,84.3, 6.08 ,82,57,20,45,82,2,1,4,0,376,61, 1.8 , 8.8 , 4.8 , 2.1 , 1.51 , 2.91 , 0.13 , 6.51 , 6.08 ,5.8, 14 , 12 ,0.475,-1.0
Ja Diaz,R,28,1,COL,NL,Reliever,6,4,0,0,56,0,5,20,173,57.7, 4.53 ,56,29,7,19,63,0,4,2,0,245,34, 3.3 , 9.8 , 3.0 , 1.1 , 1.30 , 1.54 , 0.07 , 5.31 , 3.69 ,3.6, 123 , 44 ,0.390904,0.9
Ry Buchter,L,32,1,OAK,AL,Reliever,1,1,0,0,64,0,0,7,136,45.3, 2.98 ,42,15,8,23,50,2,1,2,0,198,16, 2.2 , 9.9 , 4.6 , 1.6 , 1.43 , 2.27 , 0.10 , 3.18 , 4.94 ,4.67, 65 , 16 ,1.4,-0.1
Ma Strahm,L,27,1,SDN,NL,Reliever,6,11,0,0,46,16,0,4,344,114.7, 4.71 ,121,60,22,22,118,4,3,7,1,487,61, 5.4 , 9.3 , 1.7 , 1.7 , 1.25 , 2.11 , 0.11 , 4.79 , 4.39 ,4.1, 95 , 42 ,0.5817,1.5
An Chafin,L,29,1,ARI,NL,Reliever,2,2,0,0,77,0,0,6,158,52.7, 3.76 ,52,22,6,18,68,0,2,2,0,225,23, 3.8 , 11.6 , 3.1 , 1.0 , 1.33 , 1.48 , 0.07 , 3.93 , 3.24 ,3.21, 219 , 63 ,1.945,1.0
Cr Stammen,R,35,1,SDN,NL,Reliever,8,7,0,0,76,0,4,12,246,82.0, 3.29 ,80,30,13,15,73,2,0,2,0,339,36, 4.9 , 8.0 , 1.6 , 1.4 , 1.16 , 1.77 , 0.08 , 3.95 , 4.10 ,3.89, 66 , 40 ,2.25,0.4
Je Hoffman,R,26,1,COL,NL,Reliever,2,6,0,0,15,15,0,0,210,70.0, 6.56 ,77,51,21,34,68,3,2,4,0,315,51, 2.0 , 8.7 , 4.4 , 2.7 , 1.59 , 3.49 , 0.17 , 6.56 , 6.79 ,6.28, 8 , 8 ,0.199928,-0.4
Ju Wilson,L,31,1,NYN,NL,Reliever,4,2,0,0,45,0,4,9,117,39.0, 2.54 ,33,11,4,19,44,1,4,2,1,166,12, 2.3 , 10.2 , 4.4 , 0.9 , 1.33 , 1.51 , 0.06 , 2.77 , 3.89 ,3.8, 109 , 31 ,5.0,0.3
Ed Ramos,R,26,1,PHI,NL,Reliever,1,0,0,0,20,0,0,6,45,15.0, 5.40 ,19,9,5,7,11,1,3,1,0,69,10, 1.6 , 6.6 , 4.2 , 3.0 , 1.73 , 3.80 , 0.17 , 6.00 , 7.67 ,7.06, 0 , 1 ,0.474782,-0.3
Mi Mayers,R,27,1,STL,NL,Reliever,0,1,0,0,16,0,0,4,57,19.0, 6.63 ,21,14,3,11,16,2,1,1,0,88,14, 1.5 , 7.6 , 5.2 , 1.4 , 1.68 , 2.16 , 0.08 , 6.63 , 5.46 ,4.97, 9 , 8 ,0.478898,-0.1
Fr Peralta,R,23,1,MIL,NL,Reliever,7,3,0,0,39,8,1,3,255,85.0, 5.29 ,87,50,15,37,115,1,3,2,0,382,58, 3.1 , 12.2 , 3.9 , 1.6 , 1.46 , 2.20 , 0.12 , 6.14 , 4.16 ,3.91, 184 , 40 ,0.52202,0.9
